トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,1286635,4.28,74959,0:08:06,10137.294
関連動画,1036777,3.05,40128,0:09:25,6299.96
ブラウジング機能,220536,10.04,29626,0:06:19,3124.4117
終了画面,,,1306,0:11:40,254.2082
直接入力または不明,,,1149,0:03:38,69.796
YouTube 検索,10698,6.32,866,0:07:00,101.1903
チャンネル ページ,16719,3.61,845,0:10:22,146.0752
その他の YouTube 機能,,,672,0:09:27,105.85
外部,,,191,0:03:56,12.5437
再生リスト,1905,4.2,122,0:08:03,16.378
通知,,,54,0:07:38,6.8808
