視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,4698651,4.82,303393,26765.1477,0:05:17
ライトな視聴者,1845515,6.32,151838,13545.2976,0:05:21
新しい視聴者数,2748875,3.73,141731,12259.5946,0:05:11
コアな視聴者,87087,7.78,8964,874.8525,0:05:51
不明,0,,0,0,
