トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,4698651,4.82,303393,0:05:17,26765.1477
ブラウジング機能,2303074,6.3,194371,0:04:30,14587.1973
関連動画,2327351,3.35,96818,0:06:54,11152.837
直接入力または不明,,,3553,0:02:49,167.0245
YouTube 検索,36557,6.53,3116,0:05:15,273.4505
その他の YouTube 機能,,,2066,0:07:04,243.7743
チャンネル ページ,24485,3.62,1210,0:06:43,135.5917
外部,,,899,0:02:17,34.2895
終了画面,,,886,0:07:52,116.1773
再生リスト,7184,3.09,388,0:07:03,45.6561
通知,,,86,0:06:23,9.1496
