トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,1564459,3.29,68362,0:10:43,12212.4022
関連動画,1406080,2.83,49872,0:11:27,9517.5046
ブラウジング機能,135192,7.85,13485,0:08:35,1929.6658
直接入力または不明,,,1462,0:05:42,139.2215
終了画面,,,1012,0:13:11,222.5327
その他の YouTube 機能,,,898,0:10:29,157.089
YouTube 検索,6805,8.08,697,0:08:13,95.6083
チャンネル ページ,14251,3.12,606,0:11:07,112.4078
外部,,,180,0:04:10,12.5258
再生リスト,2131,3.28,111,0:11:03,20.46
通知,,,33,0:08:35,4.7209
動画カードとアノテーション,,,6,0:06:39,0.6657
