トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,788183,7.46,106352,0:04:11,7438.2374
ブラウジング機能,501560,9.24,81257,0:03:37,4919.3143
関連動画,246984,4.26,17817,0:06:13,1846.3652
終了画面,,,1873,0:07:07,222.2728
直接入力または不明,,,1408,0:02:52,67.5105
チャンネル ページ,22390,3.77,1207,0:06:38,133.7286
YouTube 検索,8950,9.35,1078,0:04:25,79.4786
その他の YouTube 機能,,,820,0:06:08,83.959
再生リスト,8299,2.92,636,0:06:22,67.5689
外部,,,130,0:02:29,5.3943
通知,,,126,0:06:01,12.6452
