トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,7113846,4.49,483982,0:06:29,52333.7502
ブラウジング機能,4554508,5.37,368467,0:05:19,32751.5697
関連動画,2404860,2.86,95470,0:10:37,16895.723
チャンネル ページ,113751,3.18,4971,0:10:28,867.5062
直接入力または不明,,,4646,0:04:55,380.8857
その他の YouTube 機能,,,3512,0:09:12,538.8486
YouTube 検索,25654,8.72,2800,0:08:50,412.9375
終了画面,,,1881,0:09:15,290.4689
外部,,,1662,0:03:41,102.4872
再生リスト,15073,2.04,563,0:09:40,90.8307
通知,,,10,0:14:57,2.4927
