トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,1357934,3.44,62039,0:08:58,9273.2825
ブラウジング機能,410550,5.92,29812,0:06:59,3476.804
関連動画,931085,2.32,28750,0:11:06,5322.4109
直接入力または不明,,,943,0:05:17,83.1198
その他の YouTube 機能,,,687,0:09:07,104.4549
YouTube 検索,7379,6.63,611,0:08:17,84.4121
終了画面,,,439,0:11:05,81.2033
チャンネル ページ,7390,4.19,422,0:12:03,84.8399
外部,,,222,0:03:51,14.2904
再生リスト,1530,3.59,87,0:10:56,15.8709
通知,,,60,0:04:43,4.7264
動画カードとアノテーション,,,6,0:11:29,1.15
