視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,2201478,5.44,180883,13899.1987,0:04:36
ライトな視聴者,1108139,6.22,98585,7587.8024,0:04:37
新しい視聴者数,980656,4.5,72928,5510.0108,0:04:31
コアな視聴者,104272,6.01,8729,748.3226,0:05:08
不明,,,0,0,
