視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,788183,7.46,106352,7438.2374,0:04:11
ライトな視聴者,368865,9.59,60961,4416.5501,0:04:20
新しい視聴者数,393997,5.31,41461,2681.3119,0:03:52
コアな視聴者,24453,10.02,3826,332.3776,0:05:12
不明,4,0,0,0,
