視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,2914132,6.34,234893,23705.8226,0:06:03
ライトな視聴者,1478300,7.56,137139,14100.7137,0:06:10
新しい視聴者数,1318571,5.03,89218,8606.6693,0:05:47
コアな視聴者,114868,5.77,8430,985.7681,0:07:00
不明,,,0,0,
