トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,2914132,6.34,234893,0:06:03,23705.8226
ブラウジング機能,1017676,13.43,168981,0:04:56,13903.5252
関連動画,1793420,2.41,54916,0:09:14,8455.5552
YouTube 検索,45641,6.86,3825,0:06:09,392.4606
チャンネル ページ,51934,3.24,2327,0:09:19,361.7581
その他の YouTube 機能,,,2165,0:09:02,326.5216
直接入力または不明,,,1526,0:04:25,112.6264
終了画面,,,511,0:10:59,93.6197
外部,,,419,0:03:29,24.4219
再生リスト,5461,2.14,199,0:09:29,31.508
通知,,,24,0:09:33,3.8259
