視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,223148,2.52,9989,1121.6236,0:06:44
ライトな視聴者,106405,2.91,5223,593.2796,0:06:48
新しい視聴者数,98947,1.96,3753,416.3583,0:06:39
コアな視聴者,17011,3.37,985,109.2543,0:06:39
不明,,,0,0,
