トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,223148,2.52,9989,0:06:44,1121.6236
ブラウジング機能,104476,3,4390,0:05:19,390.0325
関連動画,98521,1.76,2772,0:07:57,368.0503
終了画面,,,1394,0:07:55,183.979
チャンネル ページ,16470,3.76,882,0:08:30,125.0915
その他の YouTube 機能,,,173,0:06:57,20.0593
直接入力または不明,,,147,0:03:29,8.5491
YouTube 検索,3158,3.42,135,0:07:19,16.4852
再生リスト,523,4.4,41,0:08:39,5.9177
外部,,,32,0:02:46,1.4765
通知,,,23,0:05:10,1.9825
