視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,7113846,4.49,483982,52333.7502,0:06:29
新しい視聴者数,4152191,4.22,283029,29565.8678,0:06:16
ライトな視聴者,2773647,4.92,189428,21332.3101,0:06:45
コアな視聴者,165546,4.32,10190,1276.4261,0:07:30
不明,,,0,0,
