トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,988689,4.7,70589,0:07:51,9243.3969
ブラウジング機能,380387,7.17,42776,0:06:03,4316.2682
関連動画,581551,3.08,23726,0:10:57,4331.1968
YouTube 検索,10393,6.42,825,0:06:31,89.7179
直接入力または不明,,,823,0:05:17,72.5022
終了画面,,,813,0:12:35,170.6127
チャンネル ページ,13704,3.85,726,0:09:54,119.8761
その他の YouTube 機能,,,630,0:09:24,98.7391
再生リスト,2654,2.64,126,0:14:45,30.9853
外部,,,125,0:05:04,10.5845
通知,,,19,0:09:12,2.9141
