トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,2201478,5.44,180883,0:04:36,13899.1987
ブラウジング機能,1362968,6.73,135494,0:03:38,8238.654
関連動画,715570,3.06,31484,0:07:51,4120.8275
チャンネル ページ,73410,4.69,4622,0:08:54,686.1073
YouTube 検索,45213,5.77,3608,0:05:06,307.5545
終了画面,,,1906,0:07:43,245.4976
直接入力または不明,,,1454,0:03:26,83.5536
その他の YouTube 機能,,,1268,0:07:07,150.5328
外部,,,786,0:02:45,36.2363
再生リスト,4317,2.8,234,0:07:00,27.308
通知,,,26,0:06:09,2.6654
関連のショート動画,,,1,0:15:41,0.2617
