トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,162226,4.95,12072,0:05:58,1203.4407
ブラウジング機能,41828,7.37,4148,0:04:15,293.9101
チャンネル ページ,63254,2.89,2396,0:07:57,317.6595
YouTube 検索,27419,6.25,2075,0:04:43,163.2193
関連動画,28922,4.76,1838,0:08:00,245.5076
終了画面,,,1010,0:07:40,129.1677
その他の YouTube 機能,,,250,0:07:22,30.7192
直接入力または不明,,,109,0:02:56,5.3552
関連のショート動画,,,105,0:03:49,6.6871
動画カードとアノテーション,,,79,0:04:06,5.4132
再生リスト,803,3.36,46,0:06:27,4.955
外部,,,16,0:03:10,0.8467
