視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,162226,4.95,12072,1203.4407,0:05:58
ライトな視聴者,88280,5.46,6686,678.2851,0:06:05
新しい視聴者数,58292,3.95,4085,391.0692,0:05:44
コアな視聴者,15308,5.78,1274,132.1777,0:06:13
不明,,,0,0,
