トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,896537,3.33,41254,0:07:04,4865.6874
関連動画,794709,2.8,26996,0:08:00,3603.1331
ブラウジング機能,87856,7.78,11218,0:05:05,950.7204
終了画面,,,824,0:06:47,93.3702
YouTube 検索,6677,7.28,634,0:05:17,55.9009
直接入力または不明,,,536,0:03:50,34.2921
その他の YouTube 機能,,,483,0:07:45,62.4724
チャンネル ページ,6082,3.68,285,0:08:14,39.1757
外部,,,102,0:02:44,4.6478
再生リスト,1213,4.86,95,0:08:56,14.1597
通知,,,81,0:05:47,7.8151
