視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,1422573,4.06,86442,6649.619,0:04:36
ライトな視聴者,812823,4.58,53156,4104.3345,0:04:37
新しい視聴者数,523034,3.08,27365,2059.1571,0:04:30
コアな視聴者,85338,5.19,5814,475.2297,0:04:54
不明,,,0,0,
