トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,1422573,4.06,86442,0:04:36,6649.619
ブラウジング機能,862672,4.82,61187,0:04:04,4158.3223
関連動画,500312,2.55,16665,0:05:50,1623.4418
チャンネル ページ,34016,5.95,2729,0:07:21,334.984
終了画面,,,1817,0:06:34,199.302
YouTube 検索,21483,6.46,1688,0:05:35,157.3016
その他の YouTube 機能,,,973,0:06:01,97.7697
直接入力または不明,,,930,0:03:00,46.6733
外部,,,218,0:02:32,9.234
再生リスト,4090,2.27,190,0:05:59,18.9961
通知,,,45,0:04:47,3.5943
