視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,853585,5.97,77211,6255.5122,0:04:51
ライトな視聴者,509598,7.09,52748,4309.4322,0:04:54
新しい視聴者数,303040,3.96,20339,1534.1803,0:04:31
コアな視聴者,40289,6.97,4065,405.3408,0:05:58
不明,,,0,0,
