トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,853585,5.97,77211,0:04:51,6255.5122
ブラウジング機能,383677,9.44,55569,0:04:06,3807.8594
関連動画,432759,3.03,16790,0:06:49,1911.7493
チャンネル ページ,29396,3.92,1589,0:07:51,208.016
終了画面,,,1339,0:07:16,162.2064
その他の YouTube 機能,,,599,0:06:49,68.1617
直接入力または不明,,,575,0:03:06,29.8633
YouTube 検索,5636,7.13,518,0:05:08,44.4491
再生リスト,2117,3.4,111,0:07:47,14.4243
外部,,,92,0:03:27,5.2984
通知,,,29,0:07:12,3.4842
