視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,894288,4.88,66105,7782.8208,0:07:03
ライトな視聴者,499920,5.51,38799,4531.5198,0:07:00
新しい視聴者数,324958,3.83,21822,2570.9947,0:07:04
コアな視聴者,67309,5.39,5374,671.2647,0:07:29
不明,,,0,0,
