トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,894288,4.88,66105,0:07:03,7782.8208
ブラウジング機能,459905,6.3,40902,0:05:18,3623.3695
関連動画,351000,3.29,18373,0:10:19,3160.1725
チャンネル ページ,69873,3.4,3113,0:10:58,569.4369
YouTube 検索,11139,6.22,887,0:06:39,98.4412
その他の YouTube 機能,,,767,0:08:40,110.8037
終了画面,,,730,0:09:56,120.8894
直接入力または不明,,,589,0:04:19,42.4353
関連のショート動画,,,485,0:03:52,31.2635
外部,,,132,0:03:17,7.2404
再生リスト,2371,2.99,124,0:08:49,18.2423
通知,,,3,0:10:31,0.5261
