視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,1286635,4.28,74959,10137.294,0:08:06
ライトな視聴者,528572,5.34,36972,5052.9859,0:08:12
新しい視聴者数,707106,3.44,34284,4567.8755,0:07:59
コアな視聴者,39083,5.58,3181,449.2988,0:08:28
不明,,,0,0,
