視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,1357934,3.44,62039,9273.2825,0:08:58
ライトな視聴者,625419,4.13,33029,4963.9143,0:09:01
新しい視聴者数,669193,2.63,24352,3570.883,0:08:47
コアな視聴者,63322,5.2,4658,738.4851,0:09:30
不明,,,0,0,
