視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,988689,4.7,70589,9243.3969,0:07:51
ライトな視聴者,561295,5.58,45721,6038.1005,0:07:55
新しい視聴者数,376112,3.04,19239,2374.3794,0:07:24
コアな視聴者,48665,7.36,5376,794.8872,0:08:52
不明,,,0,0,
