視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,576043,3.84,32273,5374.1555,0:09:59
ライトな視聴者,303166,4.34,18471,3076.9446,0:09:59
新しい視聴者数,225786,2.88,10084,1692.6996,0:10:04
コアな視聴者,32827,5.91,2982,508.3198,0:10:13
不明,,,0,0,
