トラフィック ソース,インプレッション数,インプレッションのクリック率 (%),視聴回数,平均視聴時間,総再生時間（単位: 時間）
合計,576043,3.84,32273,0:09:59,5374.1555
ブラウジング機能,172640,7.47,15526,0:08:00,2074.1448
関連動画,383157,2.21,13471,0:12:12,2739.6063
終了画面,,,1145,0:11:56,227.8524
チャンネル ページ,14039,2.86,529,0:10:42,94.4378
その他の YouTube 機能,,,515,0:10:38,91.3741
直接入力または不明,,,453,0:07:45,58.6203
YouTube 検索,4413,7.36,395,0:09:46,64.3733
外部,,,132,0:03:43,8.2043
再生リスト,1794,2.45,78,0:09:42,12.6141
通知,,,29,0:06:03,2.9281
