視聴行動別の視聴者区分,インプレッション数,インプレッションのクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
合計,1564459,3.29,68362,12212.4022,0:10:43
ライトな視聴者,691824,3.86,34438,6294.0418,0:10:57
新しい視聴者数,777394,2.6,27889,4901.0794,0:10:32
コアな視聴者,55667,5.3,4066,738.0309,0:10:53
不明,,,0,0,
